What is the name of the cartoon character who is female and explores the world?;Dora
What card game has four colour groups and a word is yelled when one card is left in ones hand?;Uno
Which black person used a lot of money to turn the colour of his skin white?;Michael Jackson
Which pop star shaved her head in a life crisis?;Britney Spears
What rock band was first called Smile?;Queen
What is the name of the game - where you have to align three of the same type brick in a straight line on a 9x9 board?;Tick, tack, toe
What game is associated with the floss-dance?;Fortnite
What game has continuesly been postponed and delay because the amount of funding keeps growing?;Star Citizen
What does VR stand for?;Virtual Reality
Who came up with the theory of relativity?;Albert Einstein
Who was the first woman to win the Nobel Prize in Physics?;Marie Curie
Who won the World Men's Handball Championship in 2019?;Denmark
Which team won the Super Bowl in 2019?;New England Patriots
How many medals did Denmark win at the 2012 London Olympics Games;9
What is the capital of Denmark?;Copenhagen
What is the name of the school in Harry Potter?;Hogwarts
Which famous Disney movie features a song called 'Hakuna Matata'?;Lion King
What is the name of the largest music festival in Denmark;Roskilde Festival
What is the most played song on youtube?;Despacito – Luis Fonsi ft. Daddy Yankee
What is the largest music festival in Budapest, Hungary called?;Sziget
What is the name of Microsofts gaming consoles?;XBOX
What is the best selling video game of all time?;Tetris
What is IGN’s Best Game of The Year 2018?;God of War
What is the name of a disease passed on by mosquitoes?;Malaria
The SI unit of force is named after which 17th-18th century English mathematician famous for his universal theory of gravitation?; Newton
If you are exposed to freezing temperatures for too long and develop frostbite, you run the risk of having to have frozen parts amputated due to which necrotic condition?;Gangrene
 'El Clásico' is a game between which club giants?;Real Madrid and Barcelona
Which is the only country to have played in each and every World Cup?;Brazil
What sport used the term 'home run' long before baseball?;Cricket
What type of fish is Nemo?;A clownfish
How many rings make up the symbol of the Olympic Games?;Eight
Who wrote the play 'Hamlet'?;William Shakespeare
What is the first name of the composer Vivaldi ?;Antonio
How many strings does a violin have?;Four
What singer for a 70's British rock quartet changed his name from Frederick Bulsara?;Freddie Mercury
What color is Mario's M?;Red
What is another name of Counter Strike?;Half-life
In which game, every assassinated person is a real one with accurate death date and place?;Assassin's Creed
